"","Correct_model_perc_eucledian","Correct_model_perc_mahalanovis","Null_model_perc_eucledian","Null_model_perc_mahalanovis","Percentage_difference_eucledian","Percentage_difference_mahalanovis"
"121",0,0,100,100,100,100
"122",0,1.5,100,100,100,98.5
"123",7.5,26,100,100,92.5,74
"124",0,4.5,100,100,100,95.5
"125",0,0,100,100,100,100
"126",0.5,0,100,100,99.5,100
"127",4,3.5,100,100,96,96.5
"128",14.5,0,100,100,85.5,100
"129",0.5,1,100,100,99.5,99
"130",1,0,100,100,99,100
"131",2,9.5,100,100,98,90.5
"132",0,0,100,100,100,100
"133",0,1,100,100,100,99
"134",1.5,0,100,100,98.5,100
"135",32,0,100,100,68,100
"136",27.5,0,99.5,99.5,72,99.5
"137",1.5,0.5,100,100,98.5,99.5
"138",0,10,100,100,100,90
"139",0,1.5,100,100,100,98.5
"140",0.5,9,100,100,99.5,91
"141",4,6.5,100,100,96,93.5
"142",0,0,100,100,100,100
"143",0.5,2.5,100,100,99.5,97.5
"144",0,6.5,100,100,100,93.5
"145",0,0.5,100,100,100,99.5
"146",0,7,100,100,100,93
"147",5,13.5,100,100,95,86.5
"148",0,0,100,100,100,100
"149",1.5,0.5,100,100,98.5,99.5
"150",7,8,100,100,93,92
"151",7.5,6.5,100,100,92.5,93.5
"152",6.5,0,100,99.5,93.5,99.5
"153",3.5,0.5,100,100,96.5,99.5
"154",0.5,0,100,100,99.5,100
"155",0,0,100,100,100,100
"156",1.5,0,100,100,98.5,100
"157",1,1,99.5,99.5,98.5,98.5
"158",42,0,100,100,58,100
"159",0,6,99.5,99.5,99.5,93.5
"160",0,4,100,100,100,96
"161",0,0,100,100,100,100
"162",1.5,3,100,100,98.5,97
"163",7,0,100,100,93,100
"164",4,17.5,100,100,96,82.5
"165",4.5,1.5,100,100,95.5,98.5
"166",0,0,100,100,100,100
"167",18,3.5,100,100,82,96.5
"168",15.5,9.5,99.5,99.5,84,90
"169",0,0,100,100,100,100
"170",0,0,100,100,100,100
"171",0,3.5,100,100,100,96.5
"172",0,0,100,100,100,100
"173",0,0.5,100,100,100,99.5
"174",0,5,100,100,100,95
"175",5.5,0,100,100,94.5,100
"176",2.5,1.5,100,100,97.5,98.5
"177",0,3.5,100,100,100,96.5
